Request id,Pickup point,Driver id,Status,request_time,drop_time,response_time,request_date,request_time_hhmm,drop_date,drop_time_hhmm
619,Airport,1,Trip Completed,2016-11-07 11:51:00,2016-11-07 13:00:00,69,2016-11-07,11:51,2016-11-07,13:00
867,Airport,1,Trip Completed,2016-11-07 17:57:00,2016-11-07 18:47:00,50,2016-11-07,17:57,2016-11-07,18:47
1807,City,1,Trip Completed,2016-12-07 09:17:00,2016-12-07 09:58:00,41,2016-12-07,09:17,2016-12-07,09:58
2532,Airport,1,Trip Completed,2016-12-07 21:08:00,2016-12-07 22:03:00,55,2016-12-07,21:08,2016-12-07,22:03
3112,City,1,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,52,2016-07-13,08:33,2016-07-13,09:25
3879,Airport,1,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,31,2016-07-13,21:57,2016-07-13,22:28
4270,Airport,1,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,57,2016-07-14,06:15,2016-07-14,07:13
5510,Airport,1,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,56,2016-07-15,05:11,2016-07-15,06:07
6248,City,1,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,53,2016-07-15,17:57,2016-07-15,18:50
267,City,2,Trip Completed,2016-11-07 06:46:00,2016-11-07 07:25:00,39,2016-11-07,06:46,2016-11-07,07:25
1467,Airport,2,Trip Completed,2016-12-07 05:08:00,2016-12-07 06:02:00,54,2016-12-07,05:08,2016-12-07,06:02
1983,City,2,Trip Completed,2016-12-07 12:30:00,2016-12-07 12:57:00,27,2016-12-07,12:30,2016-12-07,12:57
2784,Airport,2,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,33,2016-07-13,04:49,2016-07-13,05:23
3075,City,2,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,73,2016-07-13,08:02,2016-07-13,09:16
3379,City,2,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,72,2016-07-13,14:23,2016-07-13,15:35
3482,Airport,2,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,57,2016-07-13,17:23,2016-07-13,18:20
4652,City,2,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,35,2016-07-14,12:01,2016-07-14,12:36
5335,Airport,2,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,54,2016-07-14,22:24,2016-07-14,23:18
535,Airport,3,Trip Completed,2016-11-07 10:00:00,2016-11-07 10:31:00,31,2016-11-07,10:00,2016-11-07,10:31
960,Airport,3,Trip Completed,2016-11-07 18:45:00,2016-11-07 19:23:00,38,2016-11-07,18:45,2016-11-07,19:23
1934,Airport,3,Trip Completed,2016-12-07 11:17:00,2016-12-07 12:23:00,66,2016-12-07,11:17,2016-12-07,12:23
2083,Airport,3,Trip Completed,2016-12-07 15:46:00,2016-12-07 16:40:00,54,2016-12-07,15:46,2016-12-07,16:40
2211,Airport,3,Trip Completed,2016-12-07 18:00:00,2016-12-07 18:28:00,28,2016-12-07,18:00,2016-12-07,18:28
3096,Airport,3,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,65,2016-07-13,08:17,2016-07-13,09:22
3881,Airport,3,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,57,2016-07-13,21:54,2016-07-13,22:51
5254,City,3,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,62,2016-07-14,21:23,2016-07-14,22:25
5434,City,3,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,43,2016-07-15,02:41,2016-07-15,03:24
5916,City,3,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,52,2016-07-15,10:00,2016-07-15,10:53
669,City,4,Trip Completed,2016-11-07 13:08:00,2016-11-07 13:49:00,41,2016-11-07,13:08,2016-11-07,13:49
1567,Airport,4,Trip Completed,2016-12-07 06:21:00,2016-12-07 07:10:00,49,2016-12-07,06:21,2016-12-07,07:10
1826,City,4,Trip Completed,2016-12-07 09:27:00,2016-12-07 10:27:00,60,2016-12-07,09:27,2016-12-07,10:27
2102,City,4,Trip Completed,2016-12-07 16:09:00,2016-12-07 17:01:00,52,2016-12-07,16:09,2016-12-07,17:01
2847,Airport,4,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,35,2016-07-13,05:34,2016-07-13,06:09
3722,Airport,4,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,34,2016-07-13,19:57,2016-07-13,20:32
4075,City,4,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,64,2016-07-14,02:17,2016-07-14,03:21
4686,City,4,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,44,2016-07-14,13:01,2016-07-14,13:45
5771,Airport,4,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,67,2016-07-15,08:30,2016-07-15,09:37
6106,Airport,4,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,46,2016-07-15,15:01,2016-07-15,15:47
312,City,5,Trip Completed,2016-11-07 07:27:00,2016-11-07 08:31:00,64,2016-11-07,07:27,2016-11-07,08:31
577,Airport,5,Trip Completed,2016-11-07 11:03:00,2016-11-07 12:01:00,58,2016-11-07,11:03,2016-11-07,12:01
1179,City,5,Trip Completed,2016-11-07 20:58:00,2016-11-07 21:45:00,47,2016-11-07,20:58,2016-11-07,21:45
1756,Airport,5,Trip Completed,2016-12-07 08:40:00,2016-12-07 09:23:00,43,2016-12-07,08:40,2016-12-07,09:23
2052,City,5,Trip Completed,2016-12-07 14:48:00,2016-12-07 15:50:00,62,2016-12-07,14:48,2016-12-07,15:50
2559,City,5,Trip Completed,2016-12-07 21:32:00,2016-12-07 22:29:00,57,2016-12-07,21:32,2016-12-07,22:29
3014,City,5,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,61,2016-07-13,07:28,2016-07-13,08:29
3317,City,5,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,32,2016-07-13,12:14,2016-07-13,12:46
4297,City,5,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,66,2016-07-14,06:43,2016-07-14,07:49
5857,Airport,5,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,58,2016-07-15,09:08,2016-07-15,10:07
6690,Airport,5,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,69,2016-07-15,22:41,2016-07-15,23:51
1517,Airport,6,Trip Completed,2016-12-07 05:45:00,2016-12-07 06:28:00,43,2016-12-07,05:45,2016-12-07,06:28
1999,Airport,6,Trip Completed,2016-12-07 13:02:00,2016-12-07 13:51:00,49,2016-12-07,13:02,2016-12-07,13:51
2960,Airport,6,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,50,2016-07-13,06:50,2016-07-13,07:40
3882,City,6,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,52,2016-07-13,21:53,2016-07-13,22:45
4081,Airport,6,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,53,2016-07-14,02:37,2016-07-14,03:30
4740,City,6,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,48,2016-07-14,14:50,2016-07-14,15:38
